ward_num,year,flood_count,ward_name,area_km2,sewer_len_km,mean_install_year,mean_diameter,old_sewer_km,pct_old_sewer,pct_small_diam,river_len_km,river_sewer_overlap_km,sewer_density,river_density,sewer_age,weak_sewer_km,river_x_weaksewer,precip_mm,rain_mm,snow_cm,heavy_days,precip_hours,river_x_heavy,weaksewer_x_heavy,riveroverlap_x_heavy
7,2009,162.0,Humber River-Black Creek,30.69420658597782,8.519778123046532,1959.5866677738884,1003.7238508209028,4.853968680842798,0.5697294707373317,0.2658610382415345,0.0,0.0,0.27756958301501305,0.0,62.413332226111606,4.853968680842798,0.0,806.2,700.0,81.55,3,1082.0,0.0,14.561906042528395,0.0
8,2009,46.0,Eglinton-Lawrence,22.657719856983817,20.56681964535326,1951.620484291812,1656.0547848675828,13.626838088875415,0.6625641846358185,0.04981866167784881,49.563341067097156,19.654190136239787,0.9077179775887256,2.1874814138378618,70.37951570818791,13.626838088875415,1.4493468393654902,806.2,700.0,81.55,3,1082.0,6.562444241513585,40.88051426662624,58.96257040871936
9,2009,130.0,Davenport,12.092764199613006,2.4774486910009004,1958.634013264649,1852.9897186513444,0.7965447311883609,0.32151815457641353,0.0,22.779630881086767,4.07888543520061,0.20487033817133257,1.8837405993425196,63.36598673535104,0.7965447311883609,0.6056568012012741,806.2,700.0,81.55,3,1082.0,5.651221798027558,2.3896341935650827,12.23665630560183
10,2009,193.0,Spadina-Fort York,18.698987381759622,14.666584750220604,1947.2361628604338,2195.4671008948226,6.837700880062713,0.4662094820649958,0.014643720295538018,15.161141481866219,6.504644955947919,0.784351818137889,0.8108001343781599,74.76383713956625,6.837700880062713,0.3780027107066709,806.2,700.0,81.55,3,1082.0,2.43240040313448,20.51310264018814,19.51393486784376
11,2009,282.0,University-Rosedale,13.594704244626001,5.634714738256236,1966.3407826269856,3646.281200108154,0.022988246617577247,0.004079753401090784,0.05122563201500643,20.752800773694148,2.480038275193153,0.4144786555752873,1.5265356568457713,55.65921737301437,0.022988246617577247,0.0062278890379028895,806.2,700.0,81.55,3,1082.0,4.579606970537314,0.06896473985273174,7.440114825579459
12,2009,143.0,Toronto-St. Paul's,13.119079184322695,7.99810887469478,1949.5318307951115,2727.6797383868216,4.0724362100101255,0.5091748904412777,0.011236179073602299,19.110091759399243,6.210414702472509,0.6096547449955576,1.45666410659643,72.46816920488845,4.0724362100101255,0.741696786885979,806.2,700.0,81.55,3,1082.0,4.36999231978929,12.217308630030377,18.631244107417526
13,2009,260.0,Toronto Centre,5.861978760190288,13.451075980318636,1943.92133419495,2557.076052524731,5.597445399401714,0.41613365411003495,0.01613878249527002,18.62655068739639,7.897617470483735,2.294630623991206,3.177519306943334,78.07866580504992,5.597445399401714,1.3222727202035154,806.2,700.0,81.55,3,1082.0,9.532557920830001,16.792336198205142,23.692852411451206
14,2009,170.0,Toronto-Danforth,21.798055615035086,23.589900903412374,1947.1588684438966,2868.454104266577,11.17001854690989,0.4735084980918297,0.006614523328547946,24.091682221342307,6.592037691748661,1.0822020697635697,1.1052216145703015,74.84113155610339,11.17001854690989,0.5233318267738106,806.2,700.0,81.55,3,1082.0,3.3156648437109046,33.510055640729675,19.776113075245984
15,2009,235.0,Don Valley West,30.29144696302436,29.26589381381763,1946.766889130305,1968.9721483159524,24.795875894849836,0.8472618691434834,0.23243206828997962,28.387162823286722,9.836011594357993,0.9661438045380076,0.9371345930730174,75.23311086969511,24.795875894849836,0.7939984069660625,806.2,700.0,81.55,3,1082.0,2.8114037792190523,74.3876276845495,29.50803478307398
16,2009,255.0,Don Valley East,22.961197918113417,13.878017333710863,1958.3321017754122,1235.0184943198562,11.944627209662139,0.860686863436007,0.1738105748566399,24.213762537486556,7.582434340982408,0.6044117290049097,1.0545513619907882,63.667898224587816,11.944627209662139,0.9076385040840207,806.2,700.0,81.55,3,1082.0,3.1636540859723645,35.83388162898642,22.74730302294722
